English_Name;Native_Name;Glottocode;near_ISO6393;639-3;639-2_B;639-2_T;639-1;Scope;Language_Type;#L1_Speakers
Oshima;0;oshi1235;0;0;0;0;0;0;0;Unknow
Oki-No-Erabu;0;okin1246;0;okn;0;0;0;I;L;Unknow
Toku-No-Shima;0;toku1246;0;tkn;0;0;0;I;L;Unknow
East Oki-No-Erabu;0;east2529;okn;0;0;0;0;0;0;Unknow
West Oki-No-Erabu;0;west2610;okn;0;0;0;0;0;0;Unknow
Kametsu;0;kame1253;tkn;0;0;0;0;0;0;Unknow
Northern Amami-Oshima;0;nort2935;0;ryn;0;0;0;I;L;Unknow
Southern Amami-Oshima;0;sout2954;0;ams;0;0;0;I;L;Unknow
Naze;0;naze1238;ryn;0;0;0;0;0;0;Unknow
Sani (Japonic);0;sani1272;ryn;0;0;0;0;0;0;Unknow
Central Okinawan;0;cent2126;0;ryu;0;0;0;I;L;2000000
Kudaka;0;kuda1249;ryu;0;0;0;0;0;0;Unknow
Naha;0;naha1264;ryu;0;0;0;0;0;0;Unknow
Shuri;0;shur1243;ryu;0;0;0;0;0;0;Unknow
Torishima;0;tori1242;ryu;0;0;0;0;0;0;Unknow
Nago;0;nago1243;xug;0;0;0;0;0;0;Unknow
Macro-Yaeyama;0;macr1267;0;0;0;0;0;0;0;Unknow
Miyako;0;miya1259;0;mvi;0;0;0;I;L;Unknow
Hateruma;0;hate1238;rys;0;0;0;0;0;0;Unknow
Hatoma;0;hato1238;rys;0;0;0;0;0;0;Unknow
Ishigaki;0;ishi1240;rys;0;0;0;0;0;0;Unknow
Kabira;0;kabi1263;rys;0;0;0;0;0;0;Unknow
Kohama;0;koha1246;rys;0;0;0;0;0;0;Unknow
Kuroshima;0;kuro1243;rys;0;0;0;0;0;0;Unknow
Shiraho;0;shir1262;rys;0;0;0;0;0;0;Unknow
Sonai;0;sona1243;rys;0;0;0;0;0;0;Unknow
Taketomi;0;take1256;rys;0;0;0;0;0;0;Unknow
Central Miyako;0;cent2327;mvi;0;0;0;0;0;0;Unknow
Ikema-Irabu;0;ikem1234;mvi;0;0;0;0;0;0;Unknow
Tarama-Minna;0;tara1319;mvi;0;0;0;0;0;0;Unknow
Kurima;0;kuri1272;mvi;0;0;0;0;0;0;Unknow
Miyako-Jima;0;miya1260;mvi;0;0;0;0;0;0;Unknow
Ogami;0;ogam1239;mvi;0;0;0;0;0;0;Unknow
Ikema-Jima;0;ikem1235;mvi;0;0;0;0;0;0;Unknow
Irabu-Jima;0;irab1238;mvi;0;0;0;0;0;0;Unknow
Jarawa (India);0;jara1245;0;anq;0;0;0;I;L;Unknow
Önge;0;onge1236;0;oon;0;0;0;I;L;Unknow
Gajirrabeng;0;gadj1243;0;0;0;0;0;0;0;Unknow
Kitja;0;kitj1240;0;0;0;0;0;0;0;Unknow
Miriwung;0;miri1266;0;0;0;0;0;0;0;Unknow
Western Jicaque;0;west2777;0;0;0;0;0;0;0;Unknow
Ayomán;0;ayom1234;0;0;0;0;0;0;0;Unknow
Gayón;0;gayo1245;0;0;0;0;0;0;0;Unknow
Jirajara;0;jira1249;0;0;0;0;0;0;0;Unknow
Shuaric;0;shua1256;0;0;0;0;0;0;0;Unknow
Achuar-Shiwiar;0;achu1248;0;acu;0;0;0;I;L;<10K
